Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
"POCO X3 (Cobalt Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹15,999"
"Redmi 9i (Nature Green, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor,"₹7,999"
"POCO X3 (Shadow Gray, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹15,999"
"POCO M2 (Brick Red, 64 GB)",6 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹9,999"
"POCO C3 (Arctic Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹6,999"
"POCO M2 (Pitch Black, 64 GB)",6 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹9,999"
"POCO X3 (Cobalt Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹14,999"
"POCO C3 (Matte Black, 32 GB)",3 GB RAM , 32 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹6,999"
"POCO C3 (Arctic Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹7,999"
"POCO C3 (Lime Green, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹7,999"
"Realme Narzo 20 (Glory Silver, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,"₹10,499"
"POCO C3 (Lime Green, 32 GB)",3 GB RAM , 32 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹6,999"
"Redmi 9 Prime (Space Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP Rear Camera , 8MP Front Camera,5020 mAh Battery,MediaTek Helio G80 Processor,"₹9,499"
"POCO C3 (Matte Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,"₹7,999"
"Realme Narzo 20 (Victory Blue, 128 GB)",4 GB RAM , 128 GB ROM ,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,"₹11,499"
"Realme Narzo 20 (Glory Silver, 128 GB)",4 GB RAM , 128 GB ROM ,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,"₹11,499"
"Realme Narzo 20 (Victory Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP , 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,"₹10,499"
"Realme Narzo 20A (Glory Silver, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹9,499"
"Realme Narzo 20A (Victory Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹9,499"
"Realme Narzo 20A (Victory Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,"₹8,499"
"POCO M2 (Slate Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹10,999"
"Realme 7 (Mist Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹14,999"
"POCO M2 (Pitch Black, 128 GB)",6 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹10,999"
"POCO M2 (Slate Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹9,999"
"Redmi 9i (Midnight Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor,"₹7,999"
"Redmi 9 Prime (Mint Green, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP Rear Camera , 8MP Front Camera,5020 mAh Battery,MediaTek Helio G80 Processor,"₹9,499"
