,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
0,POCO X3 (Cobalt Blue),6 GB , 128 GB ,16.94 ,64MP + 13MP + 2MP + 2MP , 20,6000 ,Qualcomm Snapdragon 732G Processor," 15,999"
1,Redmi 9i (Nature Green),4 GB , 64 GB ,16.59 ,13MP Rear Camera , 5,5000 ,MediaTek Helio G25 Processor," 7,999"
2,POCO X3 (Shadow Gray),6 GB , 128 GB ,16.94 ,64MP + 13MP + 2MP + 2MP , 20,6000 ,Qualcomm Snapdragon 732G Processor," 15,999"
3,POCO M2 (Brick Red),6 GB , 64 GB ,16.59 ,13MP + 8MP + 5MP + 2MP , 8,5000 ,MediaTek Helio G80 Processor," 9,999"
4,POCO C3 (Arctic Blue),3 GB , 32 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 6,999"
5,POCO M2 (Pitch Black),6 GB , 64 GB ,16.59 ,13MP + 8MP + 5MP + 2MP , 8,5000 ,MediaTek Helio G80 Processor," 9,999"
6,POCO X3 (Cobalt Blue),6 GB , 64 GB ,16.94 ,64MP + 13MP + 2MP + 2MP , 20,6000 ,Qualcomm Snapdragon 732G Processor," 14,999"
7,POCO C3 (Matte Black),3 GB , 32 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 6,999"
8,POCO C3 (Arctic Blue),4 GB , 64 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 7,999"
9,POCO C3 (Lime Green),4 GB , 64 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 7,999"
10,Realme Narzo 20 (Glory Silver),4 GB , 64 GB ,16.56 ,48MP + 8MP + 2MP , 8,6000 ,MediaTek Helio G85 Processor," 10,499"
11,POCO C3 (Lime Green),3 GB , 32 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 6,999"
12,Redmi 9 Prime (Space Blue),4 GB , 64 GB ,16.59 ,13MP Rear Camera , 8,5020 ,MediaTek Helio G80 Processor," 9,499"
13,POCO C3 (Matte Black),4 GB , 64 GB ,16.59 ,13MP + 2MP + 2MP , 5,5000 ,Mediatek Helio G35 Processor," 7,999"
14,Realme Narzo 20 (Victory Blue),4 GB , 128 GB ,16.56 ,48MP + 8MP + 2MP , 8,6000 ,MediaTek Helio G85 Processor," 11,499"
15,Realme Narzo 20 (Glory Silver),4 GB , 128 GB ,16.56 ,48MP + 8MP + 2MP , 8,6000 ,MediaTek Helio G85 Processor," 11,499"
16,Realme Narzo 20 (Victory Blue),4 GB , 64 GB ,16.56 ,48MP + 8MP + 2MP , 8,6000 ,MediaTek Helio G85 Processor," 10,499"
17,Realme Narzo 20A (Glory Silver),4 GB , 64 GB ,16.51 ,12MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 665 Processor," 9,499"
18,Realme Narzo 20A (Victory Blue),4 GB , 64 GB ,16.51 ,12MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 665 Processor," 9,499"
